combination,pca_x,pca_y,accuracy,accuracy_normalized
A1+B1+C1+D1,0.6848582786265708,0.10366230261412149,0.14374487618176265,-0.28692683648773293
A1+B1+C1+D2,0.6848582786265707,-0.2387480688040165,0.12999156548313162,-0.5321920130578924
A1+B1+C1+D3,0.6848582786265712,-1.7529949149859898,0.14635685685371044,-0.24034693185670586
A1+B1+C1+D4,0.6848582786265707,0.051659430754982416,0.12500789149392902,-0.6210667362219342
A1+B1+C1+D5,0.6848582786265711,-0.9577533303091627,0.14161590919161865,-0.32489307430432535
A1+B1+C1+D6,0.684858278626571,-0.8621016017317269,0.12009402465896872,-0.7086965762893698
A1+B1+C1+D7,0.6848582786265703,1.574949563881231,0.1292307300181973,-0.5457601239467514
A1+B1+C1+D8,0.6848582786265704,0.9547335424125278,0.12709959893198836,-0.5837649544640479
A1+B1+C1+D9,0.6848582786265707,-0.23910644874857467,0.12420539457915944,-0.635377802976033
A1+B1+C1+D10,0.6848582786265702,0.791957786667531,0.12196344486106997,-0.6753588813881832
A1+B1+C1+D11,0.6848582786265707,-0.17020954637644695,0.1349565781393099,-0.4436500806843403
A1+B1+C1+D12,0.6848582786265712,-1.9217297525032264,0.15935961208366703,-0.008466541218013794
A1+B1+C1+D13,0.6848582786265704,0.5807740876567364,0.14489531777421866,-0.2664108119107951
A1+B1+C1+D14,0.6848582786265709,-0.5088545703837576,0.14168879345509489,-0.32359331658471935
A1+B1+C1+D15,0.6848582786265702,1.3713075880533272,0.1277101092349096,-0.5728776182782386
A1+B1+C1+D16,0.6848582786265712,-2.007309490290494,0.15549253135180183,-0.07742886303965253
A1+B1+C1+D17,0.6848582786265702,1.4113849129267786,0.11440716311428782,-0.8101113651681701
A1+B1+C1+D18,0.6848582786265707,0.428682323690067,0.15320091219012827,-0.1182957052593496
A1+B1+C1+D19,0.6848582786265701,1.698105800827172,0.128458313985694,-0.5595347531068708
A1+B1+C1+D20,0.6848582786265706,-0.3084096153510635,0.1429958190835367,-0.3002849017189508
A1+B1+C2+D1,0.6848582786265716,0.10366230261412049,0.14319841765310828,-0.2966719262668815
A1+B1+C2+D2,0.6848582786265714,-0.2387480688040175,0.12944510695447753,-0.541937102837036
A1+B1+C2+D3,0.684858278626572,-1.7529949149859911,0.14581039832505593,-0.25009202163585686
A1+B1+C2+D4,0.6848582786265714,0.051659430754981306,0.12446143296527493,-0.6308118260010778
A1+B1+C2+D5,0.6848582786265719,-0.9577533303091638,0.14106945066296425,-0.33463816408347435
A1+B1+C2+D6,0.6848582786265718,-0.862101601731728,0.11954756613031463,-0.7184416660685135
A1+B1+C2+D7,0.6848582786265711,1.5749495638812299,0.128684271489543,-0.5555052137258986
A1+B1+C2+D8,0.6848582786265712,0.954733542412527,0.12655314040333404,-0.5935100442431953
A1+B1+C2+D9,0.6848582786265714,-0.23910644874857567,0.12365893605050504,-0.645122892755182
A1+B1+C2+D10,0.684858278626571,0.7919577866675299,0.1214169863324159,-0.6851039711673264
A1+B1+C2+D11,0.6848582786265714,-0.17020954637644795,0.13441011961065566,-0.4533951704634864
A1+B1+C2+D12,0.684858278626572,-1.9217297525032273,0.15881315355501285,-0.018211630997158872
A1+B1+C2+D13,0.6848582786265712,0.5807740876567353,0.14434885924556448,-0.27615590168994014
A1+B1+C2+D14,0.6848582786265717,-0.5088545703837586,0.14114233492644096,-0.33333840636386
A1+B1+C2+D15,0.684858278626571,1.3713075880533263,0.12716365070625535,-0.5826227080573851
A1+B1+C2+D16,0.684858278626572,-2.007309490290495,0.15494607282314765,-0.08717395281879761
A1+B1+C2+D17,0.684858278626571,1.4113849129267777,0.1138607045856337,-0.8198564549473141
A1+B1+C2+D18,0.6848582786265714,0.428682323690066,0.15265445366147393,-0.12804079503849763
A1+B1+C2+D19,0.6848582786265709,1.6981058008271712,0.12791185545703973,-0.5692798428860174
A1+B1+C2+D20,0.6848582786265713,-0.3084096153510645,0.14244936055488247,-0.31002999149809685
A1+B1+C3+D1,0.6848582786265699,0.1036623026141216,0.1316376186468065,-0.5028376613182217
A1+B1+C3+D2,0.6848582786265698,-0.23874806880401633,0.11788430794817549,-0.748102837888381
A1+B1+C3+D3,0.6848582786265703,-1.7529949149859898,0.1342495993187542,-0.45625775668719665
A1+B1+C3+D4,0.6848582786265698,0.051659430754982416,0.112900633958973,-0.8369775610524208
A1+B1+C3+D5,0.6848582786265702,-0.9577533303091627,0.12950865165666228,-0.5408038991348181
A1+B1+C3+D6,0.6848582786265701,-0.8621016017317269,0.10798676712401267,-0.9246074011198568
A1+B1+C3+D7,0.6848582786265694,1.5749495638812312,0.11712347248324122,-0.7616709487772391
A1+B1+C3+D8,0.6848582786265696,0.9547335424125281,0.11499234139703227,-0.7996757792945356
A1+B1+C3+D9,0.6848582786265698,-0.23910644874857456,0.11209813704420327,-0.8512886278065223
A1+B1+C3+D10,0.6848582786265693,0.7919577866675312,0.10985618732611409,-0.8912697062186674
A1+B1+C3+D11,0.6848582786265698,-0.17020954637644684,0.12284932060435384,-0.6595609055148274
A1+B1+C3+D12,0.6848582786265703,-1.9217297525032262,0.1472523545487108,-0.22437736604850408
A1+B1+C3+D13,0.6848582786265696,0.5807740876567364,0.13278806023926268,-0.4823216367412809
A1+B1+C3+D14,0.68485827862657,-0.5088545703837575,0.1295815359201389,-0.5395041414152052
A1+B1+C3+D15,0.6848582786265693,1.3713075880533272,0.11560285169995337,-0.7887884431087292
A1+B1+C3+D16,0.6848582786265703,-2.007309490290494,0.14338527381684565,-0.29333968787014186
A1+B1+C3+D17,0.6848582786265693,1.4113849129267786,0.10229990557933193,-1.0260221899986544
A1+B1+C3+D18,0.6848582786265698,0.4286823236900671,0.14109365465517237,-0.334206530089834
A1+B1+C3+D19,0.6848582786265692,1.6981058008271723,0.11635105645073807,-0.7754455779373557
A1+B1+C3+D20,0.6848582786265697,-0.30840961535106337,0.13088856154858056,-0.5161957265494396
A1+B1+C4+D1,0.6848582786265708,0.10366230261412049,0.13093951475489435,-0.5152870691783376
A1+B1+C4+D2,0.6848582786265707,-0.23874806880401755,0.11718620405626347,-0.7605522457484943
A1+B1+C4+D3,0.6848582786265712,-1.7529949149859911,0.13355149542684208,-0.46870716454731143
A1+B1+C4+D4,0.6848582786265707,0.051659430754981306,0.11220253006706082,-0.8494269689125369
A1+B1+C4+D5,0.6848582786265711,-0.9577533303091638,0.1288105477647502,-0.5532533069949324
A1+B1+C4+D6,0.684858278626571,-0.862101601731728,0.1072886632321006,-0.9370568089799712
A1+B1+C4+D7,0.6848582786265703,1.5749495638812299,0.11642536859132917,-0.7741203566373529
A1+B1+C4+D8,0.6848582786265704,0.9547335424125267,0.11429423750512,-0.8121251871546534
A1+B1+C4+D9,0.6848582786265707,-0.23910644874857567,0.11140003315229119,-0.8637380356666365
A1+B1+C4+D10,0.6848582786265702,0.7919577866675299,0.10915808343420186,-0.9037191140787844
A1+B1+C4+D11,0.6848582786265707,-0.17020954637644806,0.12215121671244186,-0.67201031337494
A1+B1+C4+D12,0.6848582786265712,-1.9217297525032273,0.14655425065679878,-0.2368267739086174
A1+B1+C4+D13,0.6848582786265704,0.5807740876567353,0.13208995634735057,-0.4947710446013957
A1+B1+C4+D14,0.6848582786265709,-0.5088545703837586,0.12888343202822686,-0.551953549275319
A1+B1+C4+D15,0.6848582786265702,1.3713075880533263,0.11490474780804132,-0.8012378509688429
A1+B1+C4+D16,0.6848582786265712,-2.007309490290495,0.14268716992493383,-0.3057890957302517
A1+B1+C4+D17,0.6848582786265702,1.4113849129267773,0.1016018016874197,-1.0384715978587713
A1+B1+C4+D18,0.6848582786265707,0.428682323690066,0.14039555076326038,-0.34665593794994676
A1+B1+C4+D19,0.6848582786265701,1.698105800827171,0.11565295255882596,-0.7878949857974705
A1+B1+C4+D20,0.6848582786265706,-0.30840961535106454,0.1301904576566684,-0.5286451344095554
A1+B1+C5+D1,0.6848582786265714,0.10366230261412104,0.14327391554613583,-0.2953255592378926
A1+B1+C5+D2,0.6848582786265713,-0.23874806880401694,0.12952060484750505,-0.5405907358080476
A1+B1+C5+D3,0.6848582786265719,-1.7529949149859902,0.14588589621808373,-0.24874565460686354
A1+B1+C5+D4,0.6848582786265713,0.05165943075498197,0.1245369308583022,-0.6294654589720939
A1+B1+C5+D5,0.6848582786265718,-0.9577533303091631,0.14114494855599172,-0.33329179705448697
A1+B1+C5+D6,0.6848582786265717,-0.8621016017317273,0.11962306402334223,-0.7170952990395235
A1+B1+C5+D7,0.684858278626571,1.5749495638812305,0.1287597693825708,-0.5541588466969052
A1+B1+C5+D8,0.6848582786265711,0.9547335424125274,0.12662863829636167,-0.592163677214205
A1+B1+C5+D9,0.6848582786265713,-0.23910644874857512,0.12373443394353283,-0.6437765257261889
A1+B1+C5+D10,0.6848582786265709,0.7919577866675306,0.12149248422544338,-0.6837576041383387
A1+B1+C5+D11,0.6848582786265713,-0.1702095463764474,0.1344856175036832,-0.4520488034344975
A1+B1+C5+D12,0.6848582786265719,-1.9217297525032269,0.15888865144804049,-0.016865263968168516
A1+B1+C5+D13,0.6848582786265711,0.580774087656736,0.14442435713859214,-0.2748095346609493
A1+B1+C5+D14,0.6848582786265716,-0.508854570383758,0.14121783281946837,-0.3319920393348736
A1+B1+C5+D15,0.6848582786265709,1.3713075880533268,0.1272391485992828,-0.5812763410283983
A1+B1+C5+D16,0.6848582786265719,-2.0073094902904947,0.15502157071617512,-0.08582758578981023
A1+B1+C5+D17,0.6848582786265709,1.4113849129267781,0.11393620247866124,-0.8185100879183255
A1+B1+C5+D18,0.6848582786265713,0.42868232369006654,0.1527299515545019,-0.12669442800950134
A1+B1+C5+D19,0.6848582786265708,1.6981058008271717,0.12798735335006733,-0.5679334758570276
A1+B1+C5+D20,0.6848582786265712,-0.3084096153510639,0.14252485844791005,-0.3086836244691075
A1+B1+C6+D1,0.6848582786265703,0.10366230261412171,0.1326685513312722,-0.48445285983819747
A1+B1+C6+D2,0.6848582786265702,-0.23874806880401628,0.11891524063264122,-0.729718036408356
A1+B1+C6+D3,0.6848582786265708,-1.7529949149859898,0.13528053200321996,-0.43787295520717084
A1+B1+C6+D4,0.6848582786265702,0.05165943075498264,0.11393156664343868,-0.8185927595723967
A1+B1+C6+D5,0.6848582786265707,-0.9577533303091624,0.1305395843411282,-0.5224190976547899
A1+B1+C6+D6,0.6848582786265706,-0.8621016017317268,0.1090176998084785,-0.9062225996398301
A1+B1+C6+D7,0.6848582786265699,1.5749495638812312,0.1181544051677071,-0.7432861472972113
A1+B1+C6+D8,0.68485827862657,0.9547335424125281,0.11602327408149797,-0.7812909778145111
A1+B1+C6+D9,0.6848582786265702,-0.23910644874857445,0.11312906972866915,-0.8329038263264945
A1+B1+C6+D10,0.6848582786265698,0.7919577866675312,0.11088712001057976,-0.8728849047386433
A1+B1+C6+D11,0.6848582786265702,-0.17020954637644672,0.12388025328881956,-0.6411761040348026
A1+B1+C6+D12,0.6848582786265708,-1.921729752503226,0.14828328723317663,-0.20599256456847728
A1+B1+C6+D13,0.68485827862657,0.5807740876567367,0.13381899292372848,-0.4639368352612546
A1+B1+C6+D14,0.6848582786265704,-0.5088545703837574,0.1306124686046046,-0.5211193399351809
A1+B1+C6+D15,0.6848582786265698,1.3713075880533276,0.11663378438441896,-0.7704036416287066
A1+B1+C6+D16,0.6848582786265708,-2.007309490290494,0.14441620650131162,-0.27495488639011256
A1+B1+C6+D17,0.6848582786265698,1.4113849129267786,0.1033308382637976,-1.0076373885186303
A1+B1+C6+D18,0.6848582786265702,0.4286823236900672,0.14212458733963815,-0.31582172860980817
A1+B1+C6+D19,0.6848582786265697,1.6981058008271723,0.11738198913520372,-0.7570607764573322
A1+B1+C6+D20,0.6848582786265701,-0.3084096153510633,0.13191949423304627,-0.49781092506941477
A1+B1+C7+D1,0.68485827862657,0.10366230261412182,0.130795887790946,-0.5178483937528295
A1+B1+C7+D2,0.6848582786265699,-0.23874806880401617,0.11704257709231485,-0.7631135703229912
A1+B1+C7+D3,0.6848582786265704,-1.7529949149859898,0.1334078684628936,-0.47126848912180586
A1+B1+C7+D4,0.6848582786265699,0.05165943075498264,0.11205890310311233,-0.8519882934870315
A1+B1+C7+D5,0.6848582786265703,-0.9577533303091624,0.12866692080080172,-0.5558146315694269
A1+B1+C7+D6,0.6848582786265702,-0.8621016017317267,0.107145036268152,-0.9396181335544677
A1+B1+C7+D7,0.6848582786265696,1.5749495638812312,0.11628174162738064,-0.776681681211848
